CaseID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Role
39,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2011/01/05 07:34:00.000,2011/01/05 07:36:00.000,Variant 11,Requester Manager
39,Analyze Request for Quotation,Karel de Groot,2011/01/06 18:15:00.000,2011/01/06 18:25:00.000,Variant 11,Purchasing Agent
39,Amend Request for Quotation Requester,Kim Passa,2011/01/06 19:11:00.000,2011/01/06 19:20:00.000,Variant 11,Requester Manager
39,Analyze Request for Quotation,Francois de Perrier,2011/01/07 11:35:00.000,2011/01/07 11:53:00.000,Variant 11,Purchasing Agent
39,Amend Request for Quotation Requester,Penn Osterwalder,2011/01/07 12:48:00.000,2011/01/07 13:02:00.000,Variant 11,Requester Manager
39,Analyze Request for Quotation,Magdalena Predutta,2011/01/07 16:24:00.000,2011/01/07 16:56:00.000,Variant 11,Purchasing Agent
39,Send Request for Quotation to Supplier,Karel de Groot,2011/01/08 23:49:00.000,2011/01/09 00:14:00.000,Variant 11,Purchasing Agent
39,Create Quotation comparison Map,Magdalena Predutta,2011/01/09 12:14:00.000,2011/01/09 18:15:00.000,Variant 11,Purchasing Agent
39,Analyze Quotation comparison Map,Esmana Liubiata,2011/01/10 01:11:00.000,2011/01/10 01:40:00.000,Variant 11,Requester
39,Choose best option,Clement Duchot,2011/01/10 01:40:00.000,2011/01/10 01:40:00.000,Variant 11,Requester
39,Settle conditions with supplier,Magdalena Predutta,2011/01/10 16:59:00.000,2011/01/11 01:59:00.000,Variant 11,Purchasing Agent
39,Create Purchase Order,Magdalena Predutta,2011/01/11 17:40:00.000,2011/01/11 17:51:00.000,Variant 11,Purchasing Agent
39,Confirm Purchase Order,Esmeralda Clay,2011/01/12 05:21:00.000,2011/01/12 05:42:00.000,Variant 11,Supplier
39,Deliver Goods Services,Sean Manney,2011/01/12 16:42:00.000,2011/01/13 16:31:00.000,Variant 11,Supplier
39,Release Purchase Order,Alberto Duport,2011/01/14 00:40:00.000,2011/01/14 00:41:00.000,Variant 11,Requester
39,Approve Purchase Order for payment,Karel de Groot,2011/01/14 04:12:00.000,2011/01/14 04:13:00.000,Variant 11,Purchasing Agent
39,Send invoice,Esmeralda Clay,2011/01/14 14:18:00.000,2011/01/14 14:18:00.000,Variant 11,Supplier
39,Release Supplier's Invoice,Karalda Nimwada,2011/01/15 04:41:00.000,2011/01/15 04:48:00.000,Variant 11,Financial Manager
39,Authorize Supplier's Invoice payment,Pedro Alvares,2011/01/15 04:48:00.000,2011/01/15 04:48:00.000,Variant 11,Financial Manager
39,Pay invoice,Pedro Alvares,2011/01/15 05:32:00.000,2011/01/15 05:41:00.000,Variant 11,Financial Manager
39,End,End,2011/01/15 05:41:00.000,2011/01/15 05:41:00.000,Variant 11,End
575,Create Purchase Requisition,Alberto Duport,2011/03/22 06:42:00.000,2011/03/22 07:12:00.000,Variant 15,Requester
575,Analyze Purchase Requisition,Heinz Gutschmidt,2011/03/23 04:07:00.000,2011/03/23 04:13:00.000,Variant 15,Requester Manager
575,Create Request for Quotation Requester Manager,Maris Freeman,2011/03/23 04:20:00.000,2011/03/23 04:22:00.000,Variant 15,Requester Manager
575,Analyze Request for Quotation,Francois de Perrier,2011/03/26 11:53:00.000,2011/03/26 12:12:00.000,Variant 15,Purchasing Agent
575,Amend Request for Quotation Requester,Fjodor Kowalski,2011/03/26 13:04:00.000,2011/03/26 13:16:00.000,Variant 15,Requester Manager
575,Analyze Request for Quotation,Francois de Perrier,2011/03/27 09:51:00.000,2011/03/27 10:31:00.000,Variant 15,Purchasing Agent
575,Send Request for Quotation to Supplier,Francois de Perrier,2011/03/27 12:06:00.000,2011/03/27 12:26:00.000,Variant 15,Purchasing Agent
575,Create Quotation comparison Map,Karel de Groot,2011/03/27 14:27:00.000,2011/03/27 16:44:00.000,Variant 15,Purchasing Agent
575,Analyze Quotation comparison Map,Kim Passa,2011/03/27 23:15:00.000,2011/03/27 23:44:00.000,Variant 15,Requester
575,Choose best option,Tesca Lobes,2011/03/27 23:44:00.000,2011/03/27 23:44:00.000,Variant 15,Requester
575,Settle conditions with supplier,Francois de Perrier,2011/03/28 07:38:00.000,2011/03/28 12:35:00.000,Variant 15,Purchasing Agent
575,Create Purchase Order,Francois de Perrier,2011/03/28 18:19:00.000,2011/03/28 18:26:00.000,Variant 15,Purchasing Agent
575,Confirm Purchase Order,Esmeralda Clay,2011/03/30 17:42:00.000,2011/03/30 18:11:00.000,Variant 15,Supplier
575,Deliver Goods Services,Esmeralda Clay,2011/03/31 01:20:00.000,2011/03/31 17:01:00.000,Variant 15,Supplier
575,Release Purchase Order,Nico Ojenbeer,2011/04/01 00:27:00.000,2011/04/01 00:28:00.000,Variant 15,Requester
575,Approve Purchase Order for payment,Francois de Perrier,2011/04/01 10:30:00.000,2011/04/01 10:31:00.000,Variant 15,Purchasing Agent
575,Send invoice,Karen Clarens,2011/04/04 19:12:00.000,2011/04/04 19:12:00.000,Variant 15,Supplier
575,Release Supplier's Invoice,Pedro Alvares,2011/04/05 09:31:00.000,2011/04/05 09:36:00.000,Variant 15,Financial Manager
575,Settle dispute with supplier Financial Manager,Pedro Alvares,2011/04/05 10:15:00.000,2011/04/05 10:36:00.000,Variant 15,Financial Manager
575,Authorize Supplier's Invoice payment,Pedro Alvares,2011/04/05 11:09:00.000,2011/04/05 11:09:00.000,Variant 15,Financial Manager
575,Pay invoice,Karalda Nimwada,2011/04/05 12:10:00.000,2011/04/05 12:23:00.000,Variant 15,Financial Manager
575,End,End,2011/04/05 12:23:00.000,2011/04/05 12:23:00.000,Variant 15,End
573,Create Purchase Requisition,Kim Passa,2011/03/22 04:49:00.000,2011/03/22 05:11:00.000,Variant 6,Requester
573,Analyze Purchase Requisition,Francis Odell,2011/03/23 04:07:00.000,2011/03/23 04:12:00.000,Variant 6,Requester Manager
573,Create Request for Quotation Requester Manager,Francis Odell,2011/03/23 04:16:00.000,2011/03/23 04:17:00.000,Variant 6,Requester Manager
573,Analyze Request for Quotation,Magdalena Predutta,2011/03/27 08:12:00.000,2011/03/27 08:30:00.000,Variant 6,Purchasing Agent
573,Amend Request for Quotation Requester,Anne Olwada,2011/03/27 09:23:00.000,2011/03/27 09:29:00.000,Variant 6,Requester Manager
573,Analyze Request for Quotation,Francois de Perrier,2011/03/27 10:55:00.000,2011/03/27 11:27:00.000,Variant 6,Purchasing Agent
573,Send Request for Quotation to Supplier,Magdalena Predutta,2011/03/27 13:03:00.000,2011/03/27 13:13:00.000,Variant 6,Purchasing Agent
573,Create Quotation comparison Map,Karel de Groot,2011/03/27 16:52:00.000,2011/03/27 19:50:00.000,Variant 6,Purchasing Agent
573,Analyze Quotation comparison Map,Kim Passa,2011/03/28 02:23:00.000,2011/03/28 02:49:00.000,Variant 6,Requester
573,Choose best option,Elvira Lores,2011/03/28 02:49:00.000,2011/03/28 02:49:00.000,Variant 6,Requester
573,Settle conditions with supplier,Magdalena Predutta,2011/03/28 07:32:00.000,2011/03/28 13:22:00.000,Variant 6,Purchasing Agent
573,Create Purchase Order,Francois de Perrier,2011/03/28 18:12:00.000,2011/03/28 18:18:00.000,Variant 6,Purchasing Agent
573,Confirm Purchase Order,Carmen Finacse,2011/03/29 07:54:00.000,2011/03/29 08:13:00.000,Variant 6,Supplier
573,Deliver Goods Services,Sean Manney,2011/03/31 15:23:00.000,2011/04/02 03:44:00.000,Variant 6,Supplier
573,Release Purchase Order,Christian Francois,2011/04/02 11:08:00.000,2011/04/02 11:09:00.000,Variant 6,Requester
573,Approve Purchase Order for payment,Karel de Groot,2011/04/02 19:59:00.000,2011/04/02 20:00:00.000,Variant 6,Purchasing Agent
573,Send invoice,Carmen Finacse,2011/04/04 15:19:00.000,2011/04/04 15:19:00.000,Variant 6,Supplier
573,Release Supplier's Invoice,Karalda Nimwada,2011/04/05 05:51:00.000,2011/04/05 05:55:00.000,Variant 6,Financial Manager
573,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/04/05 05:55:00.000,2011/04/05 05:55:00.000,Variant 6,Financial Manager
573,Pay invoice,Pedro Alvares,2011/04/05 06:52:00.000,2011/04/05 07:05:00.000,Variant 6,Financial Manager
573,End,End,2011/04/05 07:05:00.000,2011/04/05 07:05:00.000,Variant 6,End
572,Create Purchase Requisition,Anna Kaufmann,2011/03/22 04:33:00.000,2011/03/22 05:11:00.000,Variant 4,Requester
572,Analyze Purchase Requisition,Heinz Gutschmidt,2011/03/22 20:27:00.000,2011/03/22 20:33:00.000,Variant 4,Requester Manager
572,Create Request for Quotation Requester Manager,Francis Odell,2011/03/22 20:37:00.000,2011/03/22 20:38:00.000,Variant 4,Requester Manager
572,Analyze Request for Quotation,Francois de Perrier,2011/03/24 12:46:00.000,2011/03/24 12:55:00.000,Variant 4,Purchasing Agent
572,End,End,2011/03/24 12:55:00.000,2011/03/24 12:55:00.000,Variant 4,End
1047,Create Purchase Requisition,Kim Passa,2011/06/02 01:49:00.000,2011/06/02 02:16:00.000,Variant 4,Requester
1047,Analyze Purchase Requisition,Maris Freeman,2011/06/02 15:05:00.000,2011/06/02 15:11:00.000,Variant 4,Requester Manager
1047,Create Request for Quotation Requester Manager,Francis Odell,2011/06/02 15:18:00.000,2011/06/02 15:20:00.000,Variant 4,Requester Manager
1047,Analyze Request for Quotation,Karel de Groot,2011/06/07 19:41:00.000,2011/06/07 20:11:00.000,Variant 4,Purchasing Agent
1047,End,End,2011/06/07 20:11:00.000,2011/06/07 20:11:00.000,Variant 4,End
1044,Create Purchase Requisition,Esmana Liubiata,2011/06/01 19:45:00.000,2011/06/01 19:53:00.000,Variant 22,Requester
1044,Create Request for Quotation Requester,Anne Olwada,2011/06/02 01:27:00.000,2011/06/02 01:37:00.000,Variant 22,Requester
1044,Analyze Request for Quotation,Francois de Perrier,2011/07/05 23:41:00.000,2011/07/05 23:48:00.000,Variant 22,Purchasing Agent
1044,Amend Request for Quotation Requester,Miu Hanwan,2011/07/06 00:38:00.000,2011/07/06 00:51:00.000,Variant 22,Requester Manager
1044,Analyze Request for Quotation,Karel de Groot,2011/07/21 20:56:00.000,2011/07/21 21:08:00.000,Variant 22,Purchasing Agent
1044,Send Request for Quotation to Supplier,Karel de Groot,2011/07/23 10:13:00.000,2011/07/23 10:32:00.000,Variant 22,Purchasing Agent
1044,Create Quotation comparison Map,Francois de Perrier,2011/07/23 23:11:00.000,2011/07/24 03:47:00.000,Variant 22,Purchasing Agent
1044,Analyze Quotation comparison Map,Anne Olwada,2011/07/24 10:58:00.000,2011/07/24 11:26:00.000,Variant 22,Requester
1044,Choose best option,Kim Passa,2011/07/24 11:26:00.000,2011/07/24 11:26:00.000,Variant 22,Requester
1044,Settle conditions with supplier,Karel de Groot,2011/07/24 21:23:00.000,2011/07/25 09:34:00.000,Variant 22,Purchasing Agent
1044,Create Purchase Order,Francois de Perrier,2011/07/26 00:46:00.000,2011/07/26 00:57:00.000,Variant 22,Purchasing Agent
1044,Confirm Purchase Order,Carmen Finacse,2011/08/02 13:13:00.000,2011/08/02 13:30:00.000,Variant 22,Supplier
1044,Deliver Goods Services,Carmen Finacse,2011/08/31 07:19:00.000,2011/09/01 04:15:00.000,Variant 22,Supplier
1044,Release Purchase Order,Alberto Duport,2011/09/01 11:54:00.000,2011/09/01 11:55:00.000,Variant 22,Requester
1044,Approve Purchase Order for payment,Francois de Perrier,2011/09/01 16:26:00.000,2011/09/01 16:27:00.000,Variant 22,Purchasing Agent
1044,Send invoice,Kiu Kan,2011/09/10 21:05:00.000,2011/09/10 21:05:00.000,Variant 22,Supplier
1044,Release Supplier's Invoice,Karalda Nimwada,2011/09/11 11:23:00.000,2011/09/11 11:26:00.000,Variant 22,Financial Manager
1044,Settle dispute with supplier Financial Manager,Karalda Nimwada,2011/09/11 12:04:00.000,2011/09/11 12:35:00.000,Variant 22,Financial Manager
1044,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/09/11 12:35:00.000,2011/09/11 12:35:00.000,Variant 22,Financial Manager
1044,Pay invoice,Pedro Alvares,2011/09/11 13:37:00.000,2011/09/11 13:46:00.000,Variant 22,Financial Manager
1044,End,End,2011/09/11 13:46:00.000,2011/09/11 13:46:00.000,Variant 22,End
1042,Create Purchase Requisition,Miu Hanwan,2011/06/01 08:03:00.000,2011/06/01 08:37:00.000,Variant 39,Requester
1042,Analyze Purchase Requisition,Francis Odell,2011/06/02 01:20:00.000,2011/06/02 01:28:00.000,Variant 39,Requester Manager
1042,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2011/06/02 01:33:00.000,2011/06/02 01:34:00.000,Variant 39,Requester Manager
1042,Analyze Request for Quotation,Karel de Groot,2011/06/04 16:52:00.000,2011/06/04 17:05:00.000,Variant 39,Purchasing Agent
1042,Amend Request for Quotation Requester,Tesca Lobes,2011/06/04 17:55:00.000,2011/06/04 18:01:00.000,Variant 39,Requester Manager
1042,Analyze Request for Quotation,Magdalena Predutta,2011/06/09 13:09:00.000,2011/06/09 13:29:00.000,Variant 39,Purchasing Agent
1042,Amend Request for Quotation Requester,Elvira Lores,2011/06/09 14:27:00.000,2011/06/09 14:34:00.000,Variant 39,Requester Manager
1042,Analyze Request for Quotation,Magdalena Predutta,2011/06/14 01:43:00.000,2011/06/14 02:18:00.000,Variant 39,Purchasing Agent
1042,Amend Request for Quotation Requester,Anne Olwada,2011/06/14 03:04:00.000,2011/06/14 03:12:00.000,Variant 39,Requester Manager
1042,Analyze Request for Quotation,Magdalena Predutta,2011/06/21 11:58:00.000,2011/06/21 12:18:00.000,Variant 39,Purchasing Agent
1042,Amend Request for Quotation Requester,Fjodor Kowalski,2011/06/21 13:06:00.000,2011/06/21 13:16:00.000,Variant 39,Requester Manager
1042,Analyze Request for Quotation,Magdalena Predutta,2011/08/05 02:57:00.000,2011/08/05 03:23:00.000,Variant 39,Purchasing Agent
1042,Send Request for Quotation to Supplier,Karel de Groot,2011/08/05 11:51:00.000,2011/08/05 11:57:00.000,Variant 39,Purchasing Agent
1042,Create Quotation comparison Map,Francois de Perrier,2011/08/05 13:13:00.000,2011/08/05 16:26:00.000,Variant 39,Purchasing Agent
1042,Analyze Quotation comparison Map,Christian Francois,2011/08/05 22:53:00.000,2011/08/05 23:25:00.000,Variant 39,Requester
1042,Choose best option,Esmana Liubiata,2011/08/05 23:25:00.000,2011/08/05 23:25:00.000,Variant 39,Requester
1042,Settle conditions with supplier,Francois de Perrier,2011/08/06 13:47:00.000,2011/08/07 03:32:00.000,Variant 39,Purchasing Agent
1042,Create Purchase Order,Karel de Groot,2011/08/07 05:07:00.000,2011/08/07 05:16:00.000,Variant 39,Purchasing Agent
1042,Confirm Purchase Order,Sean Manney,2011/08/18 03:14:00.000,2011/08/18 03:42:00.000,Variant 39,Supplier
1042,Deliver Goods Services,Kiu Kan,2011/08/25 13:31:00.000,2011/08/27 09:27:00.000,Variant 39,Supplier
1042,Release Purchase Order,Christian Francois,2011/08/27 17:21:00.000,2011/08/27 17:22:00.000,Variant 39,Requester
1042,Approve Purchase Order for payment,Francois de Perrier,2011/08/27 22:53:00.000,2011/08/27 22:54:00.000,Variant 39,Purchasing Agent
1042,Send invoice,Kiu Kan,2011/08/31 20:07:00.000,2011/08/31 20:07:00.000,Variant 39,Supplier
1042,Release Supplier's Invoice,Karalda Nimwada,2011/09/01 10:28:00.000,2011/09/01 10:32:00.000,Variant 39,Financial Manager
1042,Settle dispute with supplier Financial Manager,Karalda Nimwada,2011/09/01 11:26:00.000,2011/09/01 11:39:00.000,Variant 39,Financial Manager
1042,Authorize Supplier's Invoice payment,Pedro Alvares,2011/09/01 11:39:00.000,2011/09/01 11:39:00.000,Variant 39,Financial Manager
1042,Pay invoice,Pedro Alvares,2011/09/01 12:31:00.000,2011/09/01 12:46:00.000,Variant 39,Financial Manager
1042,End,End,2011/09/01 12:46:00.000,2011/09/01 12:46:00.000,Variant 39,End
1041,Create Purchase Requisition,Anna Kaufmann,2011/06/01 04:47:00.000,2011/06/01 04:54:00.000,Variant 12,Requester
1041,Create Request for Quotation Requester,Nico Ojenbeer,2011/06/01 08:06:00.000,2011/06/01 08:10:00.000,Variant 12,Requester
1041,Analyze Request for Quotation,Francois de Perrier,2011/06/03 06:49:00.000,2011/06/03 07:06:00.000,Variant 12,Purchasing Agent
1041,Amend Request for Quotation Requester,Kim Passa,2011/06/03 07:58:00.000,2011/06/03 08:07:00.000,Variant 12,Requester Manager
1041,Analyze Request for Quotation,Francois de Perrier,2011/06/06 15:16:00.000,2011/06/06 15:35:00.000,Variant 12,Purchasing Agent
1041,End,End,2011/06/06 15:35:00.000,2011/06/06 15:35:00.000,Variant 12,End
19,Create Purchase Requisition,Penn Osterwalder,2011/01/02 11:47:00.000,2011/01/02 12:36:00.000,Variant 1,Requester
19,Analyze Purchase Requisition,Francis Odell,2011/01/03 12:35:00.000,2011/01/03 12:43:00.000,Variant 1,Requester Manager
19,Create Request for Quotation Requester Manager,Maris Freeman,2011/01/03 12:49:00.000,2011/01/03 12:50:00.000,Variant 1,Requester Manager
19,Analyze Request for Quotation,Francois de Perrier,2011/01/03 14:00:00.000,2011/01/03 14:30:00.000,Variant 1,Purchasing Agent
19,Send Request for Quotation to Supplier,Karel de Groot,2011/01/03 20:17:00.000,2011/01/03 20:30:00.000,Variant 1,Purchasing Agent
19,Create Quotation comparison Map,Francois de Perrier,2011/01/04 07:44:00.000,2011/01/04 11:45:00.000,Variant 1,Purchasing Agent
19,Analyze Quotation comparison Map,Anne Olwada,2011/01/04 18:23:00.000,2011/01/04 18:52:00.000,Variant 1,Requester
19,Choose best option,Esmana Liubiata,2011/01/04 18:52:00.000,2011/01/04 18:52:00.000,Variant 1,Requester
19,Settle conditions with supplier,Karel de Groot,2011/01/05 00:16:00.000,2011/01/05 08:09:00.000,Variant 1,Purchasing Agent
19,Create Purchase Order,Magdalena Predutta,2011/01/05 15:22:00.000,2011/01/05 15:29:00.000,Variant 1,Purchasing Agent
19,Confirm Purchase Order,Esmeralda Clay,2011/01/05 19:24:00.000,2011/01/05 19:40:00.000,Variant 1,Supplier
19,Deliver Goods Services,Esmeralda Clay,2011/01/06 01:27:00.000,2011/01/07 00:08:00.000,Variant 1,Supplier
19,Release Purchase Order,Immanuel Karagianni,2011/01/07 07:54:00.000,2011/01/07 07:55:00.000,Variant 1,Requester
19,Approve Purchase Order for payment,Magdalena Predutta,2011/01/07 18:39:00.000,2011/01/07 18:40:00.000,Variant 1,Purchasing Agent
19,Send invoice,Sean Manney,2011/01/08 04:28:00.000,2011/01/08 04:28:00.000,Variant 1,Supplier
19,Release Supplier's Invoice,Karalda Nimwada,2011/01/08 18:48:00.000,2011/01/08 18:52:00.000,Variant 1,Financial Manager
19,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/08 18:52:00.000,2011/01/08 18:52:00.000,Variant 1,Financial Manager
19,Pay invoice,Pedro Alvares,2011/01/08 19:07:00.000,2011/01/08 19:13:00.000,Variant 1,Financial Manager
19,End,End,2011/01/08 19:13:00.000,2011/01/08 19:13:00.000,Variant 1,End
18,Create Purchase Requisition,Tesca Lobes,2011/01/02 10:36:00.000,2011/01/02 10:52:00.000,Variant 1,Requester
18,Analyze Purchase Requisition,Heinz Gutschmidt,2011/01/03 11:45:00.000,2011/01/03 11:49:00.000,Variant 1,Requester Manager
18,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2011/01/03 11:54:00.000,2011/01/03 11:57:00.000,Variant 1,Requester Manager
18,Analyze Request for Quotation,Karel de Groot,2011/01/03 13:15:00.000,2011/01/03 13:36:00.000,Variant 1,Purchasing Agent
18,Send Request for Quotation to Supplier,Karel de Groot,2011/01/04 00:30:00.000,2011/01/04 00:44:00.000,Variant 1,Purchasing Agent
18,Create Quotation comparison Map,Magdalena Predutta,2011/01/04 04:46:00.000,2011/01/04 06:40:00.000,Variant 1,Purchasing Agent
18,Analyze Quotation comparison Map,Tesca Lobes,2011/01/04 12:48:00.000,2011/01/04 12:57:00.000,Variant 1,Requester
18,Choose best option,Anna Kaufmann,2011/01/04 12:57:00.000,2011/01/04 12:57:00.000,Variant 1,Requester
18,Settle conditions with supplier,Karel de Groot,2011/01/05 08:36:00.000,2011/01/05 22:03:00.000,Variant 1,Purchasing Agent
18,Create Purchase Order,Francois de Perrier,2011/01/06 04:40:00.000,2011/01/06 04:46:00.000,Variant 1,Purchasing Agent
18,Confirm Purchase Order,Kiu Kan,2011/01/06 16:45:00.000,2011/01/06 17:19:00.000,Variant 1,Supplier
18,Deliver Goods Services,Karen Clarens,2011/01/07 06:43:00.000,2011/01/08 07:31:00.000,Variant 1,Supplier
18,Release Purchase Order,Anne Olwada,2011/01/08 14:51:00.000,2011/01/08 14:52:00.000,Variant 1,Requester
18,Approve Purchase Order for payment,Francois de Perrier,2011/01/08 22:09:00.000,2011/01/08 22:10:00.000,Variant 1,Purchasing Agent
18,Send invoice,Sean Manney,2011/01/09 06:46:00.000,2011/01/09 06:46:00.000,Variant 1,Supplier
18,Release Supplier's Invoice,Karalda Nimwada,2011/01/09 21:08:00.000,2011/01/09 21:12:00.000,Variant 1,Financial Manager
18,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/09 21:12:00.000,2011/01/09 21:12:00.000,Variant 1,Financial Manager
18,Pay invoice,Karalda Nimwada,2011/01/09 21:29:00.000,2011/01/09 21:34:00.000,Variant 1,Financial Manager
18,End,End,2011/01/09 21:34:00.000,2011/01/09 21:34:00.000,Variant 1,End
17,Create Purchase Requisition,Anne Olwada,2011/01/02 10:32:00.000,2011/01/02 11:17:00.000,Variant 25,Requester
17,Create Request for Quotation Requester,Alberto Duport,2011/01/02 19:02:00.000,2011/01/02 19:12:00.000,Variant 25,Requester
17,Analyze Request for Quotation,Francois de Perrier,2011/01/03 04:41:00.000,2011/01/03 05:02:00.000,Variant 25,Purchasing Agent
17,Amend Request for Quotation Requester,Penn Osterwalder,2011/01/03 05:53:00.000,2011/01/03 05:58:00.000,Variant 25,Requester Manager
17,Analyze Request for Quotation,Karel de Groot,2011/01/03 07:19:00.000,2011/01/03 07:28:00.000,Variant 25,Purchasing Agent
17,Amend Request for Quotation Requester,Anne Olwada,2011/01/03 08:13:00.000,2011/01/03 08:27:00.000,Variant 25,Requester Manager
17,Analyze Request for Quotation,Karel de Groot,2011/01/03 10:10:00.000,2011/01/03 10:24:00.000,Variant 25,Purchasing Agent
17,Amend Request for Quotation Requester,Anna Kaufmann,2011/01/03 11:17:00.000,2011/01/03 11:31:00.000,Variant 25,Requester Manager
17,Analyze Request for Quotation,Francois de Perrier,2011/01/03 13:16:00.000,2011/01/03 13:36:00.000,Variant 25,Purchasing Agent
17,End,End,2011/01/03 13:36:00.000,2011/01/03 13:36:00.000,Variant 25,End
16,Create Purchase Requisition,Esmana Liubiata,2011/01/02 10:25:00.000,2011/01/02 11:14:00.000,Variant 45,Requester
16,Create Request for Quotation Requester,Immanuel Karagianni,2011/01/02 11:56:00.000,2011/01/02 12:05:00.000,Variant 45,Requester
16,Analyze Request for Quotation,Karel de Groot,2011/01/02 12:53:00.000,2011/01/02 13:13:00.000,Variant 45,Purchasing Agent
16,Amend Request for Quotation Requester,Kim Passa,2011/01/02 14:05:00.000,2011/01/02 14:11:00.000,Variant 45,Requester Manager
16,Analyze Request for Quotation,Francois de Perrier,2011/01/02 15:00:00.000,2011/01/02 15:23:00.000,Variant 45,Purchasing Agent
16,Amend Request for Quotation Requester Manager,Heinz Gutschmidt,2011/01/03 07:12:00.000,2011/01/03 07:25:00.000,Variant 45,Requester Manager
16,Analyze Request for Quotation,Magdalena Predutta,2011/01/03 10:12:00.000,2011/01/03 10:45:00.000,Variant 45,Purchasing Agent
16,Amend Request for Quotation Requester,Fjodor Kowalski,2011/01/03 11:34:00.000,2011/01/03 11:44:00.000,Variant 45,Requester Manager
16,Analyze Request for Quotation,Karel de Groot,2011/01/03 12:50:00.000,2011/01/03 13:15:00.000,Variant 45,Purchasing Agent
16,Send Request for Quotation to Supplier,Magdalena Predutta,2011/01/04 09:16:00.000,2011/01/04 09:40:00.000,Variant 45,Purchasing Agent
16,Create Quotation comparison Map,Francois de Perrier,2011/01/04 11:45:00.000,2011/01/04 17:14:00.000,Variant 45,Purchasing Agent
16,Analyze Quotation comparison Map,Tesca Lobes,2011/01/04 23:56:00.000,2011/01/05 00:26:00.000,Variant 45,Requester
16,Choose best option,Elvira Lores,2011/01/05 00:26:00.000,2011/01/05 00:26:00.000,Variant 45,Requester
16,Settle conditions with supplier,Francois de Perrier,2011/01/05 07:28:00.000,2011/01/05 17:06:00.000,Variant 45,Purchasing Agent
16,Create Purchase Order,Francois de Perrier,2011/01/06 04:48:00.000,2011/01/06 05:00:00.000,Variant 45,Purchasing Agent
16,Confirm Purchase Order,Karen Clarens,2011/01/06 10:11:00.000,2011/01/06 10:31:00.000,Variant 45,Supplier
16,Deliver Goods Services,Kiu Kan,2011/01/06 17:57:00.000,2011/01/07 16:26:00.000,Variant 45,Supplier
16,Release Purchase Order,Anna Kaufmann,2011/01/08 00:14:00.000,2011/01/08 00:15:00.000,Variant 45,Requester
